title,price,image_url
Shop on eBay,$20.00,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png
Apple AirPods Pro 2nd Generation With Magsafe Wireless Charging Case MQD83AM/A,$159.95,https://i.ebayimg.com/thumbs/images/g/fKgAAOSwWuRjZXXl/s-l300.jpg
Apple AirPods Pro (2nd Generation) Gen 2 - Excellent,$154.99,https://i.ebayimg.com/thumbs/images/g/ywMAAOSwDLljl75S/s-l300.jpg
Apple Airpods Pro with Magsafe Charging Case - A2083 A2190 MLWK3AM/A. Excellent,$134.99,https://i.ebayimg.com/thumbs/images/g/tYIAAOSwRxZhTgXt/s-l300.jpg
Apple Airpods Pro with Wireless Charging Case - A2083 MWP22AM/A. Excellent,$134.99,https://i.ebayimg.com/thumbs/images/g/tYIAAOSwRxZhTgXt/s-l300.jpg
For Airpods Pro （2nd generation）Earbuds Earphones with Charging Case,$45.29,https://i.ebayimg.com/thumbs/images/g/8S8AAOSwprBlAm8F/s-l300.jpg
For Airpods Pro （2nd generation）Earbuds Earphones with Charging Case and Lanyard,$44.63,https://i.ebayimg.com/thumbs/images/g/QqMAAOSwq0JlLi2-/s-l300.jpg
Apple AirPods Pro (2nd Generation) with MagSafe Wireless Charging Case - White,$154.75,https://i.ebayimg.com/thumbs/images/g/~E0AAOSwL4xjg5lL/s-l300.jpg
Apple AirPods Pro 1st Generation Wireless Earbuds Bluetooth Charging Case,$55.00,https://i.ebayimg.com/thumbs/images/g/HYwAAOSwd2dk6sT7/s-l300.jpg
Apple Airpods Pro 1st Gen LEFT Side Airpod Only - Original Apple Airpods Pro 1st,$47.99,https://i.ebayimg.com/thumbs/images/g/sRUAAOSw82VfCOqL/s-l300.jpg
Apple AirPods Pro with MagSafe Wireless Charging Case - White,$39.00,https://i.ebayimg.com/thumbs/images/g/P2AAAOSweV9lPWNd/s-l300.jpg
New ListingApple AirPods Pro with Wireless Charging Case - White,$35.00,https://i.ebayimg.com/thumbs/images/g/6AgAAOSwIM1lQ-Wr/s-l300.jpg
