title,price,image_url,status,link
Shop on eBay,$20.00,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,Brand New,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
For Airpods Pro ï¼ˆ2nd generationï¼‰Earbuds Earphones with Charging Case,$45.29,https://i.ebayimg.com/thumbs/images/g/8S8AAOSwprBlAm8F/s-l300.jpg,Open Box,https://www.ebay.com/itm/354893250400?hash=item52a1493f60:g:8S8AAOSwprBlAm8F&amdata=enc%3AAQAIAAAA4HYEGqpCU6mbPydaBzAPDXyqyLxny5SsR42KiADP01%2Bu41nhi%2FPl5ZUKEg8gEvCVd0r6mfgTVlc9vNp2R8H4aX7zYuSKA58aoTwy1oSgN0Q0u6I%2FeBTWJeLTEbegth%2BaRRDl94ACAoFsRJ2vFmjeOX6VVbTtCnP0kiY4iJ2gYvgdTPWQQ%2Ba2H5rFHbeSjCy0bwzuJzjsKAYv80fSCTtC7xqF0aB9Ise%2Fk%2BdNQLrZD5BAt5yUDN42Y71mRjixps11qu1BMvGLBpqLMA1ZWk4bsKJsum%2FLvOp6IYO4UHvOWnaA%7Ctkp%3ABFBMyu_E-PJi
For Airpods Pro ï¼ˆ2nd generationï¼‰Earbuds Earphones with Charging Case and Lanyard,$44.63,https://i.ebayimg.com/thumbs/images/g/QqMAAOSwq0JlLi2-/s-l300.jpg,Pre-Owned,https://www.ebay.com/itm/295569376698?hash=item44d14ec5ba:g:QqMAAOSwq0JlLi2-&amdata=enc%3AAQAIAAAA4M0lftm7nye6xxGrGQemN0MEGqkZwR7wQ09xiy3Vjl8IIY8g9GmdXN%2B8eIMu3thI6uf75xyblwseWV0XyBYJS63jWbB32Kw6Ft4FX13Mo1pL2odr%2FH2LDllPkilMOe7ArfoZSVwrHNCKNecdBM7PjuWXVaTNZNb0umD9Aytsjea7PrKaaiKolb%2BMWd1AN9ffSAKoRaImYcJR9e%2BHLRLqOhovRBxr8tXzxcrdhtB0CapWsbhrRMyqyJNpQTZmU%2BghMEwHvJlFtbs5LjHsT7lEnjGwqyK7J1DpuOuwngpiprCe%7Ctkp%3ABFBMyu_E-PJi
AirPods Pro 2nd Generation with MagSafe Wireless Charging Case - White,$89.92,https://i.ebayimg.com/thumbs/images/g/xzgAAOSw91tkr6Tf/s-l300.jpg,Brand New,https://www.ebay.com/itm/394972929628?hash=item5bf6389e5c:g:xzgAAOSw91tkr6Tf&amdata=enc%3AAQAIAAAA4ADYh4vqm1qkDS3ZgRUNi2KgsGUT%2FqDlDvBmbCtzY7K5AvrFynHHmLAWvrJKuoHrc7flassJonT%2FQA6IADhMiv6VEK7TpRh3oj2fbiuQHmKmldHmaasQfrsei%2BwOwjtCEGydDYQbNcM8L%2FmD%2BQSMBtelGYJaSKsN29cf4xAeqQZloFgivRE5gQN9tPOgn8JCJt4p6kmOHD8L8vK%2FqNuNyIm%2FbRvWjncKYBoemX0ZiYE%2BgKAJLF8cT9scGCQdBHtdGllXCCS7UnkzXsm9yXMbeVRdGdNQP9BnFY7LBox3Gik%2F%7Ctkp%3ABFBMyu_E-PJi
AirPods Pro 2nd generation with MagSafe Wireless Charging Case - White,$90.65,https://i.ebayimg.com/thumbs/images/g/HcEAAOSwG~5lPAYU/s-l300.jpg,Brand New,https://www.ebay.com/itm/386233789289?hash=item59ed53eb69:g:HcEAAOSwG~5lPAYU&amdata=enc%3AAQAIAAAA4P%2BtZlf9lt8acWUVSLaP3rMgbGpKg8IelLuU%2FyqQnFirHgT%2BqiVHuY2ktDkkCxZ%2BcoqbCt4UPCuYKx1SwViaSjMHfSrv7ZelA%2BTwTGXwtPKEPGKYXZwT8cGBGUMttL5kcOHSu2804hhnmnd28ng0msEjyk9Yvlfo7W5N09f1fqjtmavrK0ml0MO%2BXm9kH%2BvkCdLIM%2B0yGZ2YyfzMDpCl5GWLwdKit%2FvGDECCO0q%2FPNhHT1lkGOsheRM73m5YdJ6WTDa9DMejemgC%2BH5BN1YZs7D7QISIFAK0pCiyQ3ymeOxQ%7Ctkp%3ABFBMyu_E-PJi
Apple AirPods Pro (2nd Generation) Gen 2 - Excellent,$154.99,https://i.ebayimg.com/thumbs/images/g/ywMAAOSwDLljl75S/s-l300.jpg,Excellent - Refurbished,https://www.ebay.com/itm/165787124485?hash=item2699aec305:g:ywMAAOSwDLljl75S&amdata=enc%3AAQAIAAAAwNeO2w6Pgw%2BNbjnxSPdYhywkFDaRG%2FZc053vUYDLMCTlFZNfDneUAcN1lnosmTR%2BGAZU3%2Fdz49ZJR6BXSj3ookA8bqSGSl7f6qBg3uYEmfm%2B28%2Bqw7MDIXjRfCml7lO5H5w3QiftJybhfkZxho%2BsJUTSrLr8ira%2BVJ7Re%2BktB3oy3Dk3SyqY97en2u5fhU1OS9i60APOUyKiFAuOYVCXBmtDNFyco8%2BClNlEvirPh6Y8DrEn6msT11unZFdR9qnw2w%3D%3D%7Ctkp%3ABk9SR8rvxPjyYg
Apple AirPods Pro 2nd Generation With Magsafe Wireless Charging Case MQD83AM/A,$159.95,https://i.ebayimg.com/thumbs/images/g/fKgAAOSwWuRjZXXl/s-l300.jpg,100% AUTHENTIC WITH SERIAL NUMBER SHIPS OUT IN 24 HOURS,https://www.ebay.com/itm/295317463511?hash=item44c24ae1d7:g:fKgAAOSwWuRjZXXl&amdata=enc%3AAQAIAAAA4CfO%2F7ZKMLLQNEjxJA9e90pyPKvcAUaW28TFK9cWO%2Bnh0u1NroYEyPFWlrEk4cB03OerF8MPTMK0tu3R7V74oRAuzqMw0dCjhT7KnuJ%2BYVj49mCRcHgYCi3EVAo0KDMDULBPy29A6YbEa%2BbY48RTPVUoDj8eLiQ4754yLNr64piTbwTABGZB8iIVfzv4FEMfU67JFWPLPDRPM3LkVj2M5iTr5hdgOxyVy5Q63OiB%2F7UZOjSy9e04b6gwmeHeo4mQMR%2FoafglEmsJ5vY9tIvXf0ixcUr9zfRYl8r%2BjPb%2B0sl3%7Ctkp%3ABk9SR8rvxPjyYg
Apple AirPods Pro (1st Generation) with MagSafe Charging Case,$39.00,https://i.ebayimg.com/thumbs/images/g/7EgAAOSw311lMihL/s-l300.jpg,Pre-Owned,https://www.ebay.com/itm/196056081705?hash=item2da5da6529:g:7EgAAOSw311lMihL&amdata=enc%3AAQAIAAAA4JNqN7dsgiLyJhOWDj5Z4of4gJaVDJNgETO%2FXdJXAgk1Qu2k8elK6BSS8wupK3sCYbnOip4OisvKqYZem6DJi1mvwejqMRl4eSUHzryRmGge4njieA8Y4ySGIwmCZgnHzKQAyETOXecqmdGElUkK7V7jwuRYWsc7Ny5%2FGziW67urOIWPixZLsg2H83nb4zDd68PvvbhmSvuKdRlTcAf8g2KS0fRBNRWZTCUhgVh%2Fxf5EkgbCBHSswRoFrKxeTz7iQ060i0s1Qv3w5g8DByjvrIhGdKSayoYaLiwZWijw1KT3%7Ctkp%3ABk9SR8rvxPjyYg
Apple AirPods Pro (2nd Generation) with MagSafe Wireless Charging Case - White,$154.75,https://i.ebayimg.com/thumbs/images/g/~E0AAOSwL4xjg5lL/s-l300.jpg,100% Authentic APPLE / Ships out in 24 Hrs,https://www.ebay.com/itm/266012284550?hash=item3def915686:g:~E0AAOSwL4xjg5lL&amdata=enc%3AAQAIAAAA4M8PL8aXe%2BcC7kknGp17jR2ztNQynG8zlSyIDXnSWRQIK7u2aY39eiZ%2FuQV0g4Zo7qZ%2BHv%2FQiEcPhhKspTVz6%2BNEQ8AXwIeg3XP2Rw6Oo1PrLQlHW6YEQFGcsoeoj46Juct1%2BFDgiGugyTnjTXhySMdzL4KAu%2B%2BFsd1UZmQP2dT9iUAOZw0Nq%2FyJvUm3FqRYpfD8D1DhzZFOFfNtr71e12eIYTZ3Grl84vozu2G8eg5THSIqy86lfzCqtQRThoO0U7uQr%2FIFglfoKDXttL3BRGIp4NCcdLlvhr94drdLFq00%7Ctkp%3ABk9SR8rvxPjyYg
Apple AirPods Pro 1st Generation Wireless Earbuds Bluetooth Charging Case,$55.00,https://i.ebayimg.com/thumbs/images/g/HYwAAOSwd2dk6sT7/s-l300.jpg,Open Box,https://www.ebay.com/itm/145265527830?hash=item21d2800c16:g:HYwAAOSwd2dk6sT7&amdata=enc%3AAQAIAAAA4I0UmlDTMvYNQ1WIkKvpeN49RJ09rmj7zJhVZIxi%2BPRsnDfI61w0nnWxoTyTgylNknTtozD7M9OCWAK3jReoVlKKC1UfOxl41SIC3qL6muU8VtdvnoNCjfQZwph6FUjixXiiyjKrT2vxnGHJkER%2BZcwgd5io7PpOTgMgS6sT0Ch6bgARQ8XhrBM%2FE0TLsbXdfpK6BA7FApv16GxHRicbTF%2BvkDVY5xKuwadjuAzzi0sQmZ7pBZ8hm0PvF7Lljbq5o6L6rSgc1Dyj1acE9jXy4U5hqHay3Ce0Ca3tLZadDUEX%7Ctkp%3ABk9SR8rvxPjyYg
